import time: self [us] | cumulative | imported package
import time:      1462 |       1462 |             sqlalchemy.engine.reflection
import time:       252 |      72473 |           sqlalchemy.engine
import time:       177 |        177 |           sqlalchemy.schema
import time:       140 |        140 |           sqlalchemy.types
import time:       163 |        163 |             sqlalchemy.engine.characteristics
import time:      1076 |       1239 |           sqlalchemy.engine.default
import time:       453 |      91143 |         sqlalchemy
import time:        96 |         96 |                     sqlalchemy.sql._orm_types
import time:       538 |        634 |                   sqlalchemy.orm._typing
import time:      1010 |       1644 |                 sqlalchemy.orm.base
import time:       354 |        354 |                 sqlalchemy.orm.mapped_collection
import time:       940 |       2936 |               sqlalchemy.orm.collections
import time:       582 |        582 |                 sqlalchemy.orm.path_registry
import time:      1245 |       1826 |               sqlalchemy.orm.interfaces
import time:      1629 |       6390 |             sqlalchemy.orm.attributes
import time:      1246 |       7636 |           sqlalchemy.orm.util
import time:       373 |       8008 |         sqlalchemy.orm.exc
import time:       638 |        638 |             sqlalchemy.orm.state
import time:      1245 |       1883 |           sqlalchemy.orm.instrumentation
import time:        92 |         92 |                 sqlalchemy.future.engine
import time:        86 |        177 |               sqlalchemy.future
import time:       962 |       1139 |             sqlalchemy.orm.context
import time:      1124 |       1124 |                 sqlalchemy.orm.strategy_options
import time:       857 |        857 |                 sqlalchemy.orm.descriptor_props
import time:      2450 |       2450 |                 sqlalchemy.orm.relationships
import time:       668 |       5098 |               sqlalchemy.orm.properties
import time:      5497 |       5497 |               sqlalchemy.orm.query
import time:       459 |        459 |               sqlalchemy.orm.unitofwork
import time:      6483 |       6483 |                   sqlalchemy.orm.evaluator
import time:       117 |        117 |                     sqlalchemy.orm.sync
import time:       455 |        572 |                   sqlalchemy.orm.persistence
import time:       636 |       7690 |                 sqlalchemy.orm.bulk_persistence
import time:       257 |        257 |                 sqlalchemy.orm.identity
import time:       318 |        318 |                 sqlalchemy.orm.state_changes
import time:      2280 |      10543 |               sqlalchemy.orm.session
import time:      1298 |      22894 |             sqlalchemy.orm.strategies
import time:       616 |      24648 |           sqlalchemy.orm.loading
import time:      1734 |      28263 |         sqlalchemy.orm.mapper
import time:       756 |        756 |         sqlalchemy.orm._orm_constructors
import time:       386 |        386 |           sqlalchemy.orm.clsregistry
import time:      1098 |       1098 |           sqlalchemy.orm.decl_base
import time:       949 |       2431 |         sqlalchemy.orm.decl_api
import time:       408 |        408 |           sqlalchemy.orm.writeonly
import time:       417 |        825 |         sqlalchemy.orm.dynamic
import time:       382 |        382 |           sqlalchemy.orm.scoping
import time:      2848 |       3230 |         sqlalchemy.orm.events
import time:       355 |        355 |         sqlalchemy.orm.dependency
import time:       474 |     135482 |       sqlalchemy.orm
import time:        86 |         86 |         app.core
import time:       222 |        222 |           jose.exceptions
import time:       112 |        333 |         jose
import time:       720 |        720 |           calendar
import time:        84 |         84 |                             cryptography.__about__
import time:        89 |        173 |                           cryptography
import time:       238 |        411 |                         cryptography.utils
import time:       455 |        866 |                       jose.utils
import time:       129 |        994 |                     jose.backends.base
import time:       146 |        146 |                     jose.constants
import time:       145 |       1285 |                   jose.backends.native
import time:        65 |         65 |                           cryptography.hazmat
